,mean,std,min,max,perc_satif
CrossLinkingMassSpectrometryRestraint_Distance_||0.10|Pom152.5|870|Pom152.0|888|0|PSI|,386.608711673294,13.080648704295472,360.67734954230036,420.6331912808122,0.0
CrossLinkingMassSpectrometryRestraint_Distance_||0.11|Pom152.5|870|Pom152.7|888|0|PSI|,426.0480722879147,3.327558913100936,422.97186778458746,438.37642551870175,0.0
CrossLinkingMassSpectrometryRestraint_Distance_||0.12|Pom152.5|870|Pom152.6|888|0|PSI|,46.606146034146015,11.527173809670087,25.717575895219067,76.79220734637777,0.04234234234234234
CrossLinkingMassSpectrometryRestraint_Distance_||0.13|Pom152.0|870|Pom152.5|888|0|PSI|,386.608711673294,13.080648704295475,360.67734954230036,420.6331912808122,0.0
CrossLinkingMassSpectrometryRestraint_Distance_||0.14|Pom152.7|870|Pom152.5|888|0|PSI|,412.37124935347555,3.2712773637030317,408.8751112376479,423.87416331626656,0.0
CrossLinkingMassSpectrometryRestraint_Distance_||0.15|Pom152.6|870|Pom152.5|888|0|PSI|,46.60614603414601,11.527173809670087,25.717575895219063,76.79220734637775,0.04234234234234234
CrossLinkingMassSpectrometryRestraint_Distance_||0.16|Pom152.5|870|Pom152.5|888|0|PSI|,11.894512973522497,1.0345650339578459e-12,11.894512973523463,11.894512973523588,1.0
CrossLinkingMassSpectrometryRestraint_Distance_||0.17|Pom152.4|870|Pom152.0|888|0|PSI|,779.6989439039555,6.015126604474885,774.8967564583694,801.5836367182178,0.0
CrossLinkingMassSpectrometryRestraint_Distance_||0.18|Pom152.4|870|Pom152.7|888|0|PSI|,749.009518431052,9.328416394498257,728.2272999275658,775.2436648239656,0.0
CrossLinkingMassSpectrometryRestraint_Distance_||0.19|Pom152.4|870|Pom152.6|888|0|PSI|,1014.689211323437,7.817740171292365,1008.8592638726357,1042.7907656407394,0.0
CrossLinkingMassSpectrometryRestraint_Distance_||0.1|Pom152.0|870|Pom152.0|888|0|PSI|,11.894512973522497,1.0360835161284528e-12,11.894512973523465,11.894512973523588,1.0
CrossLinkingMassSpectrometryRestraint_Distance_||0.20|Pom152.4|870|Pom152.5|888|0|PSI|,997.8106224130621,6.5636480908900765,982.7374711931553,1017.0379773388634,0.0
CrossLinkingMassSpectrometryRestraint_Distance_||0.21|Pom152.0|870|Pom152.4|888|0|PSI|,769.2293637658091,5.968436262880658,764.2030298129355,790.426389995386,0.0
CrossLinkingMassSpectrometryRestraint_Distance_||0.22|Pom152.7|870|Pom152.4|888|0|PSI|,749.009518431052,9.328416394498248,728.2272999275658,775.2436648239656,0.0
CrossLinkingMassSpectrometryRestraint_Distance_||0.23|Pom152.6|870|Pom152.4|888|0|PSI|,1009.0229488820183,7.792128226740475,1003.2207513477944,1036.8669880042935,0.0
CrossLinkingMassSpectrometryRestraint_Distance_||0.24|Pom152.5|870|Pom152.4|888|0|PSI|,997.8106224130621,6.563648090890079,982.7374711931553,1017.0379773388634,0.0
CrossLinkingMassSpectrometryRestraint_Distance_||0.25|Pom152.4|870|Pom152.4|888|0|PSI|,11.894512973522497,1.0354064900231233e-12,11.894512973523462,11.894512973523584,1.0
CrossLinkingMassSpectrometryRestraint_Distance_||0.26|Pom152.3|870|Pom152.0|888|0|PSI|,799.8488632914201,14.80229850049676,774.0045752294826,845.4862478690812,0.0
CrossLinkingMassSpectrometryRestraint_Distance_||0.27|Pom152.3|870|Pom152.7|888|0|PSI|,769.2293637658091,5.968436262880713,764.2030298129357,790.4263899953861,0.0
CrossLinkingMassSpectrometryRestraint_Distance_||0.28|Pom152.3|870|Pom152.6|888|0|PSI|,1025.3316287918583,11.715045399266328,1008.6080251025594,1064.5397323008403,0.0
CrossLinkingMassSpectrometryRestraint_Distance_||0.29|Pom152.3|870|Pom152.5|888|0|PSI|,1009.022948882018,7.792128226740402,1003.2207513477945,1036.8669880042935,0.0
CrossLinkingMassSpectrometryRestraint_Distance_||0.2|Pom152.7|870|Pom152.0|888|0|PSI|,46.606146034146,11.52717380967007,25.71757589521906,76.7922073463777,0.04234234234234234
CrossLinkingMassSpectrometryRestraint_Distance_||0.30|Pom152.3|870|Pom152.4|888|0|PSI|,46.60614603414606,11.52717380967009,25.71757589521909,76.79220734637794,0.04234234234234234
CrossLinkingMassSpectrometryRestraint_Distance_||0.31|Pom152.0|870|Pom152.3|888|0|PSI|,799.8488632914201,14.802298500496757,774.0045752294826,845.4862478690814,0.0
CrossLinkingMassSpectrometryRestraint_Distance_||0.32|Pom152.7|870|Pom152.3|888|0|PSI|,779.6989439039559,6.015126604474887,774.8967564583696,801.5836367182179,0.0
CrossLinkingMassSpectrometryRestraint_Distance_||0.33|Pom152.6|870|Pom152.3|888|0|PSI|,1025.3316287918583,11.715045399266328,1008.6080251025594,1064.5397323008403,0.0
CrossLinkingMassSpectrometryRestraint_Distance_||0.34|Pom152.5|870|Pom152.3|888|0|PSI|,1014.689211323437,7.817740171292348,1008.8592638726357,1042.7907656407394,0.0
CrossLinkingMassSpectrometryRestraint_Distance_||0.35|Pom152.4|870|Pom152.3|888|0|PSI|,46.60614603414606,11.527173809670082,25.71757589521908,76.79220734637795,0.04234234234234234
CrossLinkingMassSpectrometryRestraint_Distance_||0.36|Pom152.3|870|Pom152.3|888|0|PSI|,11.894512973522497,1.0357366246355836e-12,11.894512973523458,11.894512973523598,1.0
CrossLinkingMassSpectrometryRestraint_Distance_||0.37|Pom152.2|870|Pom152.0|888|0|PSI|,426.0480722879147,3.3275589131009196,422.9718677845875,438.37642551870175,0.0
